innovation,mfc,software,kind,demo,status,demo_done,note
Non-Gaussian filtering,ARC,NEDAS,implementation,yes,planned,no,
Non-Gaussian filtering,BAL,PDAF,implementation,yes,planned,no,
Non-Gaussian filtering,GLO,MROA,interface,no,planned,no,
Non-Gaussian filtering,IBI,MROA,interface,no,planned,no,
AI assimilation core,ARC,NEDAS,implementation,yes,planned,no,
AI assimilation core,BAL,PDAF,interface,no,planned,no,
AI assimilation core,BLK,OAK,implementation,yes,planned,no,
AI assimilation core,MED,OceanVar,implementation,yes,planned,no,
Automated tuning,ARC,NEDAS,interface,no,planned,no,
Automated tuning,BAL,PDAF,implementation,yes,planned,no,
Automated tuning,GLO,MROA,interface,no,planned,no,
Automated tuning,IBI,MROA,interface,no,planned,no,
Automated tuning,MED,E-Med-BGC,implementation,yes,planned,no,
Higher-order sampling,ARC,NEDAS,interface,no,planned,no,
Higher-order sampling,BAL,PDAF,implementation,yes,planned,no,
Higher-order sampling,GLO,MROA,interface,no,planned,no,
Higher-order sampling,IBI,MROA,interface,no,planned,no,
Higher-order sampling,MED,E-Med-BGC,implementation,yes,planned,no,
AI super resolution,MED,E-Med-BGC,implementation,yes,planned,no,
AI ensemble generation,ARC,NEDAS,implementation,yes,planned,no,
AI ensemble generation,BLK,OceanVar,implementation,yes,planned,no,
AI ensemble generation,GLO,MROA,implementation,yes,planned,no,
AI ensemble generation,IBI,MROA,implementation,yes,planned,no,
AI ensemble generation,MED,OceanVar,implementation,yes,planned,no,
Upgraded stochastic physics,ARC,NEDAS,interface,no,planned,no,
Upgraded stochastic physics,GLO,CIGAR,implementation,yes,planned,no,
Upgraded stochastic physics,NWS,NEMOVAR,shared,yes,planned,no,
AI bias correction,GLO,CIGAR,implementation,yes,planned,no,
Mechanistic perturbation,BLK,OAK,implementation,yes,planned,no,
Mechanistic perturbation,GLO,MROA,shared,yes,planned,no,
Mechanistic perturbation,MED,E-Med-BGC,shared,yes,planned,no,
Correlated R,ARC,NEDAS,interface,yes,planned,no,
Correlated R,BAL,PDAF,interface,yes,planned,no,
Correlated R,BLK,OceanVar,shared,yes,planned,no,
Correlated R,GLO,NEMOVAR,implementation,yes,planned,no,
Correlated R,IBI,MROA,interface,no,planned,no,
Correlated R,NWS,NEMOVAR,implementation,yes,planned,no,
Sentinel-3 NG WiSA,BLK,OceanVar,interface,no,planned,no,
Sentinel-3 NG WiSA,MED,OceanVar,interface,no,planned,no,
Sentinel-3 NG WiSA,NWS,NEMOVAR,available,yes,planned,no,
CIMR Tb,ARC,NEDAS,implementation,yes,planned,no,
Sentinel-3 reflectance,BLK,OAK,available,yes,planned,no,
Sentinel-3 reflectance,GLO,MROA,available,yes,planned,no,
Sentinel-3 reflectance,MED,E-Med-BGC,available,yes,planned,no,
Dynamic ensemble,ARC,NEDAS,available,yes,planned,no,
Dynamic ensemble,BAL,PDAF,available,yes,planned,no,
Dynamic ensemble,BLK,OAK,available,yes,planned,no,
Dynamic ensemble,GLO,CIGAR,available,yes,planned,no,
Dynamic ensemble,IBI,MROA,available,yes,planned,no,
Dynamic ensemble,MED,E-Med-BGC,interface,yes,planned,no,
Dynamic ensemble,NWS,NEMOVAR,available,yes,planned,no,
Multiscale B,BAL,PDAF,implementation,yes,planned,no,
Multiscale B,GLO,NEMOVAR,implementation,yes,planned,no,
Multiscale B,IBI,MROA,implementation,yes,planned,no,
Multiscale B,MED,E-Med-BGC,interface,no,planned,no,
Multiscale B,NWS,NEMOVAR,implementation,yes,planned,no,
Hybrid B,BLK,OceanVar,implementation,yes,planned,no,
Hybrid B,GLO,CIGAR,shared,yes,planned,no,
Hybrid B,MED,OceanVar,implementation,yes,planned,no,
Hybrid B,NWS,NEMOVAR,implementation,yes,planned,no,
FSOI and its emulation,ARC,NEDAS,implementation,yes,planned,no,
FSOI and its emulation,GLO,NEMOVAR,implementation,yes,planned,no,
